District,SQLTable,Category,Report,FileName,GitHubPath,RawURL
JD01,Ex_Defendant Characteristics_Number of Cases Filed by Defendant Age,6. Defendant Characteristics,Number of Cases Filed by Defendant Age,JD01 - Number of Cases Filed by Defendant Age.csv,JD01/6. Defendant Characteristics/JD01 - Number of Cases Filed by Defendant Age.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Defendant%20Age.csv
JD01,Ex_Defendant Characteristics_Number of Cases Filed by Defendant Criminal History,6. Defendant Characteristics,Number of Cases Filed by Defendant Criminal History,JD01 - Number of Cases Filed by Defendant Criminal History.csv,JD01/6. Defendant Characteristics/JD01 - Number of Cases Filed by Defendant Criminal History.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Defendant%20Criminal%20History.csv
JD01,Ex_Defendant Characteristics_Number of Cases Filed by Defendant Gender,6. Defendant Characteristics,Number of Cases Filed by Defendant Gender,JD01 - Number of Cases Filed by Defendant Gender.csv,JD01/6. Defendant Characteristics/JD01 - Number of Cases Filed by Defendant Gender.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Defendant%20Gender.csv
JD01,Ex_Defendant Characteristics_Number of Cases Filed by Defendant Race_Ethnicity,6. Defendant Characteristics,Number of Cases Filed by Defendant Race Ethnicity,JD01 - Number of Cases Filed by Defendant Race Ethnicity.csv,JD01/6. Defendant Characteristics/JD01 - Number of Cases Filed by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Defendant%20Race%20Ethnicity.csv
JD01,Ex_Defendant Characteristics_Violent Recidivism,6. Defendant Characteristics,Violent Recidivism,JD01 - Violent Recidivism.csv,JD01/6. Defendant Characteristics/JD01 - Violent Recidivism.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Violent%20Recidivism.csv
JD01,Ex_Serving Victims_Convictions in Sexual Assault Cases,7. Serving Victims,Convictions in Sexual Assault Cases,JD01 - Convictions in Sexual Assault Cases.csv,JD01/7. Serving Victims/JD01 - Convictions in Sexual Assault Cases.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Convictions%20in%20Sexual%20Assault%20Cases.csv
JD01,Ex_Serving Victims_Monitoring Violent Victimization of Children,7. Serving Victims,Monitoring Violent Victimization of Children,JD01 - Monitoring Violent Victimization of Children.csv,JD01/7. Serving Victims/JD01 - Monitoring Violent Victimization of Children.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Monitoring%20Violent%20Victimization%20of%20Children.csv
JD01,Ex_Serving Victims_Number of Cases Filed by Victim Age,7. Serving Victims,Number of Cases Filed by Victim Age,JD01 - Number of Cases Filed by Victim Age.csv,JD01/7. Serving Victims/JD01 - Number of Cases Filed by Victim Age.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Victim%20Age.csv
JD01,Ex_Serving Victims_Number of Cases Filed by Victim Gender,7. Serving Victims,Number of Cases Filed by Victim Gender,JD01 - Number of Cases Filed by Victim Gender.csv,JD01/7. Serving Victims/JD01 - Number of Cases Filed by Victim Gender.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Victim%20Gender.csv
JD01,Ex_Serving Victims_Number of Cases Filed by Victim Race_Ethnicity,7. Serving Victims,Number of Cases Filed by Victim Race Ethnicity,JD01 - Number of Cases Filed by Victim Race Ethnicity.csv,JD01/7. Serving Victims/JD01 - Number of Cases Filed by Victim Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Number%20of%20Cases%20Filed%20by%20Victim%20Race%20Ethnicity.csv
JD01,Ex_Serving Victims_Person and Sex Offense Dismissals Across Socioeconomic Status,7. Serving Victims,Person and Sex Offense Dismissals Across Socioeconomic Status,JD01 - Person and Sex Offense Dismissals Across Socioeconomic Status.csv,JD01/7. Serving Victims/JD01 - Person and Sex Offense Dismissals Across Socioeconomic Status.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Person%20and%20Sex%20Offense%20Dismissals%20Across%20Socioeconomic%20Status.csv
JD01,Ex_Serving Victims_Property Offense Dismissals Across Socioeconomic Status,7. Serving Victims,Property Offense Dismissals Across Socioeconomic Status,JD01 - Property Offense Dismissals Across Socioeconomic Status.csv,JD01/7. Serving Victims/JD01 - Property Offense Dismissals Across Socioeconomic Status.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Property%20Offense%20Dismissals%20Across%20Socioeconomic%20Status.csv
JD01,Ex_Serving Victims_Violent Victimization in Low Income Communities,7. Serving Victims,Violent Victimization in Low Income Communities,JD01 - Violent Victimization in Low Income Communities.csv,JD01/7. Serving Victims/JD01 - Violent Victimization in Low Income Communities.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/7.%20Serving%20Victims/JD01%20-%20Violent%20Victimization%20in%20Low%20Income%20Communities.csv
JD01,Ex_Staffing and Caseloads_Felony Cases per Prosecutor,8. Staffing and Caseloads,Felony Cases per Prosecutor,JD01 - Felony Cases per Prosecutor.csv,JD01/8. Staffing and Caseloads/JD01 - Felony Cases per Prosecutor.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/8.%20Staffing%20and%20Caseloads/JD01%20-%20Felony%20Cases%20per%20Prosecutor.csv
JD01,Ex_Staffing and Caseloads_Misdemeanor Cases per Prosecutor,8. Staffing and Caseloads,Misdemeanor Cases per Prosecutor,JD01 - Misdemeanor Cases per Prosecutor.csv,JD01/8. Staffing and Caseloads/JD01 - Misdemeanor Cases per Prosecutor.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/8.%20Staffing%20and%20Caseloads/JD01%20-%20Misdemeanor%20Cases%20per%20Prosecutor.csv
JD01,Ex_Staffing and Caseloads_Office Staff,8. Staffing and Caseloads,Office Staff,JD01 - Office Staff.csv,JD01/8. Staffing and Caseloads/JD01 - Office Staff.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/8.%20Staffing%20and%20Caseloads/JD01%20-%20Office%20Staff.csv
JD02,Ex_Felony Referrals_Case Filling Differences by Defendant Race_Ethnicity,1. Felony Referrals,Case Filling Differences by Defendant Race Ethnicity,JD02 - Case Filling Differences by Defendant Race Ethnicity.csv,JD02/1. Felony Referrals/JD02 - Case Filling Differences by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/1.%20Felony%20Referrals/JD02%20-%20Case%20Filling%20Differences%20by%20Defendant%20Race%20Ethnicity.csv
JD02,Ex_Felony Referrals_Identifying Dismissible Cases at Filing,1. Felony Referrals,Identifying Dismissible Cases at Filing,JD02 - Identifying Dismissible Cases at Filing.csv,JD02/1. Felony Referrals/JD02 - Identifying Dismissible Cases at Filing.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/1.%20Felony%20Referrals/JD02%20-%20Identifying%20Dismissible%20Cases%20at%20Filing.csv
JD02,Ex_Felony Referrals_Number of Felony Referrals Filed and Number Declined,1. Felony Referrals,Number of Felony Referrals Filed and Number Declined,JD02 - Number of Felony Referrals Filed and Number Declined.csv,JD02/1. Felony Referrals/JD02 - Number of Felony Referrals Filed and Number Declined.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/1.%20Felony%20Referrals/JD02%20-%20Number%20of%20Felony%20Referrals%20Filed%20and%20Number%20Declined.csv
JD02,Ex_Felony Referrals_Percent of Felony Referrals Declined,1. Felony Referrals,Percent of Felony Referrals Declined,JD02 - Percent of Felony Referrals Declined.csv,JD02/1. Felony Referrals/JD02 - Percent of Felony Referrals Declined.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/1.%20Felony%20Referrals/JD02%20-%20Percent%20of%20Felony%20Referrals%20Declined.csv
JD02,Ex_Felony Referrals_Reducing Felony Charges,1. Felony Referrals,Reducing Felony Charges,JD02 - Reducing Felony Charges.csv,JD02/1. Felony Referrals/JD02 - Reducing Felony Charges.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/1.%20Felony%20Referrals/JD02%20-%20Reducing%20Felony%20Charges.csv
JD02,Ex_Charging and Filing_Cases Filed,2. Charging and Filing,Cases Filed,JD02 - Cases Filed.csv,JD02/2. Charging and Filing/JD02 - Cases Filed.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/2.%20Charging%20and%20Filing/JD02%20-%20Cases%20Filed.csv
JD02,Ex_Charging and Filing_Number of Cases Filed by Quarter and Charge Level,2. Charging and Filing,Number of Cases Filed by Quarter and Charge Level,JD02 - Number of Cases Filed by Quarter and Charge Level.csv,JD02/2. Charging and Filing/JD02 - Number of Cases Filed by Quarter and Charge Level.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD02/2.%20Charging%20and%20Filing/JD02%20-%20Number%20of%20Cases%20Filed%20by%20Quarter%20and%20Charge%20Level.csv
